Area_name,,Average household size 2010
Riverside, CA,3.14
Sacramento, CA,2.71
San Benito, CA,3.27
San Bernardino, CA,3.26
San Diego, CA,2.75
San Francisco, CA,2.26
San Joaquin, CA,3.12
San Luis Obispo, CA,2.48
San Mateo, CA,2.75
Santa Barbara, CA,2.86
Santa Clara, CA,2.9
Santa Cruz, CA,2.66
Shasta, CA,2.48
Sierra, CA,2.16
Siskiyou, CA,2.28
Solano, CA,2.83
Sonoma, CA,2.55
Stanislaus, CA,3.08
Sutter, CA,2.98
Tehama, CA,2.63
Trinity, CA,2.2
Tulare, CA,3.36
Tuolumne, CA,2.3
Ventura, CA,3.04
Yolo, CA,2.74
Yuba, CA,2.92
COLORADO,,2.49
Adams, CO,2.85
Alamosa, CO,2.45
Arapahoe, CO,2.53
Archuleta, CO,2.27
Baca, CO,2.2
Bent, CO,2.34
Boulder, CO,2.39
Broomfield, CO,2.6
Chaffee, CO,2.15
Cheyenne, CO,2.28
Clear Creek, CO,2.14
Conejos, CO,2.64
Costilla, CO,2.27
Crowley, CO,2.41
Custer, CO,2.13
Delta, CO,2.38
Denver, CO,2.22
Dolores, CO,2.3
Douglas, CO,2.79
Eagle, CO,2.71
Elbert, CO,2.75
El Paso, CO,2.56
Fremont, CO,2.3
Garfield, CO,2.73
Gilpin, CO,2.19
Grand, CO,2.26
Gunnison, CO,2.22
Hinsdale, CO,2.17
Huerfano, CO,2.09
Jackson, CO,2.14
Jefferson, CO,2.42
Kiowa, CO,2.24
Kit Carson, CO,2.37
Lake, CO,2.43
La Plata, CO,2.35
Larimer, CO,2.42
Las Animas, CO,2.29
Lincoln, CO,2.28
Logan, CO,2.34
Mesa, CO,2.46
Mineral, CO,2.01
Moffat, CO,2.51
Montezuma, CO,2.4
Montrose, CO,2.47
Morgan, CO,2.68
Otero, CO,2.38
Ouray, CO,2.19
Park, CO,2.25
Phillips, CO,2.41
Pitkin, CO,2.09
Prowers, CO,2.48
Pueblo, CO,2.46
Rio Blanco, CO,2.43
Rio Grande, CO,2.47
Routt, CO,2.34
Saguache, CO,2.31
San Juan, CO,2.03
San Miguel, CO,2.13
Sedgwick, CO,2.14
Summit, CO,2.36
Teller, CO,2.37
Washington, CO,2.34
Weld, CO,2.76
Yuma, CO,2.49
CONNECTICUT,,2.52
Fairfield, CT,2.68
Hartford, CT,2.47
Litchfield, CT,2.44
Middlesex, CT,2.39
New Haven, CT,2.49
New London, CT,2.44
Tolland, CT,2.51
Windham, CT,2.54
DELAWARE,,2.55
Kent, DE,2.62
New Castle, DE,2.57
Sussex, DE,2.45
DISTRICT OF COLUMBIA,,2.11
District of Columbia,,2.11
FLORIDA,,2.48
Alachua, FL,2.32
Baker, FL,2.82
Bay, FL,2.41
Bradford, FL,2.53
Brevard, FL,2.33
Broward, FL,2.52
Calhoun, FL,2.52
Charlotte, FL,2.14
Citrus, FL,2.2
Clay, FL,2.76
Collier, FL,2.38
Columbia, FL,2.52
DeSoto, FL,2.71
Dixie, FL,2.37
Duval, FL,2.47
Escambia, FL,2.41
Flagler, FL,2.42
Franklin, FL,2.29
Gadsden, FL,2.61
Gilchrist, FL,2.58
Glades, FL,2.52
Gulf, FL,2.33
Hamilton, FL,2.54
Hardee, FL,3.12
Hendry, FL,3.09
Hernando, FL,2.38
Highlands, FL,2.28
Hillsborough, FL,2.55
Holmes, FL,2.47
Indian River, FL,2.26
Jackson, FL,2.4
Jefferson, FL,2.38
Lafayette, FL,2.63
Lake, FL,2.42
Lee, FL,2.35
Leon, FL,2.35
Levy, FL,2.45
Liberty, FL,2.57
Madison, FL,2.48
Manatee, FL,2.34
Marion, FL,2.35
Martin, FL,2.23
Miami-Dade, FL,2.83
Monroe, FL,2.18
Nassau, FL,2.53
Okaloosa, FL,2.43
Okeechobee, FL,2.68
Orange, FL,2.64
Osceola, FL,2.93
Palm Beach, FL,2.39
Pasco, FL,2.42
Pinellas, FL,2.16
Polk, FL,2.59
