Areaname,,"Resident population: White alone, percent (July 1 - estimate) 2009","Resident population: Black alone, percent (July 1 - estimate) 2009","Resident population: Asian alone, percent (July 1 - estimate) 2009"
Lee, AR,42.4,56.2,0.4
Lincoln, AR,66.5,32,0.1
Little River, AR,75.8,20.3,0.2
Logan, AR,94.8,1.5,1.1
Lonoke, AR,90.5,7.1,0.6
Madison, AR,96.4,0.7,0.2
Marion, AR,97.1,0.6,0.2
Miller, AR,73.5,23.5,0.6
Mississippi, AR,63.2,34.3,0.5
Monroe, AR,59.7,38,0.2
Montgomery, AR,95.9,0.7,0.5
Nevada, AR,66.4,32,0.1
Newton, AR,97.3,0.4,0.2
Ouachita, AR,58.2,39.7,0.4
Perry, AR,94.8,2.7,0.1
Phillips, AR,36.5,61.5,0.7
Pike, AR,93.4,4.2,0.3
Poinsett, AR,90.6,7.9,0.2
Polk, AR,95.3,0.7,0.2
Pope, AR,93.5,3.4,0.9
Prairie, AR,84,14.5,0.2
Pulaski, AR,60.8,34.7,2
Randolph, AR,96.7,1.3,0.2
St. Francis, AR,47.6,50.5,0.7
Saline, AR,92.4,5.1,0.7
Scott, AR,93,1,2.8
Searcy, AR,96.9,0.6,0.2
Sebastian, AR,84.9,6.6,3.9
Sevier, AR,91.3,4.5,0.2
Sharp, AR,96.3,1.3,0.2
Stone, AR,96.7,0.6,0.2
Union, AR,64.3,33.4,0.9
Van Buren, AR,96.3,0.9,0.4
Washington, AR,89.7,3.6,2.2
White, AR,93,4.6,0.4
Woodruff, AR,69.1,28.5,0.1
Yell, AR,94.5,2.1,1.4
CALIFORNIA,,76.4,6.6,12.7
Alameda, CA,56.1,13.2,25.4
Alpine, CA,68.5,0.7,0.4
Amador, CA,90.3,4,1.6
Butte, CA,88.3,1.8,4.4
Calaveras, CA,92.5,1.3,1.6
Colusa, CA,92.1,1.3,1.8
Contra Costa, CA,71.2,9.7,14.1
Del Norte, CA,81.8,4.5,2.8
El Dorado, CA,91.1,1.3,3.6
Fresno, CA,80.9,5.8,9
Glenn, CA,91,0.9,3.6
Humboldt, CA,85.7,1.2,2.1
Imperial, CA,89.9,4.2,2.6
Inyo, CA,83.4,0.4,1.4
Kern, CA,85.3,6.5,4.1
Kings, CA,84,8.1,3.4
Lake, CA,89.7,2.4,1.4
Lassen, CA,82.5,10,1
Los Angeles, CA,74,9.3,13.4
Madera, CA,87.6,4.6,2.1
Marin, CA,87.6,3.1,5.8
Mariposa, CA,90.9,1.2,1
Mendocino, CA,88.5,0.9,1.5
Merced, CA,84.6,4.1,7
Modoc, CA,91,1,0.7
Mono, CA,92.5,1,1.5
Monterey, CA,85.5,3.5,6.4
