County,State,2013,2014,2015,2016,2017,2018,2019
Hoonah-Angoon Census Area, Alaska,"2,116","2,098","2,132","2,121","2,139","2,155","2,148"
Juneau City and Borough, Alaska,"32,594","32,481","32,615","32,412","32,098","32,037","31,974"
Kenai Peninsula Borough, Alaska,"57,014","57,558","58,034","58,458","58,558","58,561","58,708"
Ketchikan Gateway Borough, Alaska,"13,722","13,802","13,702","13,707","13,834","13,856","13,901"
Kodiak Island Borough, Alaska,"14,093","13,907","13,767","13,728","13,512","13,250","12,998"
Kusilvak Census Area, Alaska,"7,974","8,100","8,194","8,181","8,236","8,323","8,314"
Lake and Peninsula Borough, Alaska,"1,667","1,647","1,595","1,600","1,612","1,596","1,592"
Matanuska-Susitna Borough, Alaska,"95,880","98,103","101,062","104,119","106,232","107,115","108,317"
Nome Census Area, Alaska,"9,852","9,810","9,893","9,966","10,025","10,053","10,004"
North Slope Borough, Alaska,"9,792","9,776","9,788","9,694","9,795","9,850","9,832"
Northwest Arctic Borough, Alaska,"7,725","7,772","7,772","7,691","7,795","7,694","7,621"
Petersburg Borough, Alaska,"3,291","3,261","3,253","3,260","3,264","3,244","3,266"
Prince of Wales-Hyder Census Area, Alaska,"6,446","6,463","6,508","6,519","6,444","6,360","6,203"
Sitka City and Borough, Alaska,"8,973","8,838","8,778","8,736","8,641","8,554","8,493"
Skagway Municipality, Alaska,"1,026","1,054","1,088","1,132","1,167","1,169","1,183"
Southeast Fairbanks Census Area, Alaska,"6,986","6,925","6,812","6,857","6,892","6,937","6,893"
Valdez-Cordova Census Area, Alaska,"9,781","9,478","9,319","9,314","9,220","9,161","9,202"
Wrangell City and Borough, Alaska,"2,448","2,441","2,453","2,496","2,521","2,538","2,502"
Yakutat City and Borough, Alaska,651,655,635,612,602,596,579
Yukon-Koyukuk Census Area, Alaska,"5,560","5,462","5,465","5,423","5,409","5,359","5,230"
Apache County, Arizona,"72,322","71,796","71,012","71,381","71,545","71,731","71,887"
Cochise County, Arizona,"129,578","127,314","126,454","125,686","124,864","126,411","125,922"
Coconino County, Arizona,"136,699","137,566","138,962","140,407","141,001","142,523","143,476"
Gila County, Arizona,"53,005","53,044","52,978","53,356","53,578","53,801","54,018"
Graham County, Arizona,"37,433","38,099","37,860","37,807","37,481","37,995","38,837"
Greenlee County, Arizona,"8,916","9,349","9,577","9,643","9,443","9,448","9,498"
La Paz County, Arizona,"20,522","20,516","20,466","20,648","20,706","21,039","21,108"
Maricopa County, Arizona,"4,017,723","4,093,648","4,172,905","4,256,143","4,327,184","4,402,403","4,485,414"
Mohave County, Arizona,"203,126","203,423","204,574","205,412","207,017","209,292","212,181"
Navajo County, Arizona,"107,135","107,701","107,638","108,467","109,079","110,242","110,924"
Pima County, Arizona,"997,127","1,004,229","1,009,103","1,016,707","1,026,391","1,036,554","1,047,279"
Pinal County, Arizona,"385,398","395,322","405,614","417,193","431,564","446,806","462,789"
Santa Cruz County, Arizona,"46,939","46,636","46,542","46,400","46,566","46,395","46,498"
Yavapai County, Arizona,"214,421","217,716","220,805","224,575","228,082","231,772","235,099"
Yuma County, Arizona,"202,420","204,054","205,186","207,247","209,507","211,612","213,787"
Arkansas County, Arkansas,"18,755","18,479","18,330","18,154","17,872","17,726","17,486"
Ashley County, Arkansas,"21,278","20,956","20,838","20,530","20,311","20,012","19,657"
Baxter County, Arkansas,"40,983","40,888","41,138","41,131","41,308","41,624","41,932"
Benton County, Arkansas,"239,461","244,841","251,591","259,212","266,585","272,266","279,141"
Boone County, Arkansas,"37,328","37,116","37,119","37,259","37,459","37,385","37,432"
Bradley County, Arkansas,"11,120","11,007","10,999","10,959","10,813","10,838","10,763"
Calhoun County, Arkansas,"5,192","5,167","5,200","5,143","5,201","5,227","5,189"
Carroll County, Arkansas,"27,791","27,734","27,755","27,728","27,865","28,097","28,380"
Chicot County, Arkansas,"11,362","11,211","10,970","10,899","10,647","10,442","10,118"
Clark County, Arkansas,"22,582","22,557","22,513","22,602","22,184","22,313","22,320"
Clay County, Arkansas,"15,484","15,299","15,206","15,060","14,865","14,763","14,551"
Cleburne County, Arkansas,"25,625","25,591","25,355","25,173","25,059","24,994","24,919"
Cleveland County, Arkansas,"8,515","8,399","8,284","8,245","8,162","7,995","7,956"
Columbia County, Arkansas,"24,284","24,049","24,115","24,026","23,695","23,586","23,457"
Conway County, Arkansas,"21,088","20,995","20,936","20,874","20,810","20,825","20,846"
Craighead County, Arkansas,"101,653","102,661","104,457","105,932","107,188","108,816","110,332"
Crawford County, Arkansas,"61,667","61,807","61,904","62,263","62,894","63,379","63,257"
Crittenden County, Arkansas,"49,739","49,536","49,019","49,306","48,716","48,363","47,955"
Cross County, Arkansas,"17,521","17,181","17,255","17,025","16,792","16,630","16,419"
Dallas County, Arkansas,"7,892","7,691","7,530","7,399","7,307","7,152","7,009"
Desha County, Arkansas,"12,502","12,270","12,029","11,905","11,743","11,507","11,361"
Drew County, Arkansas,"18,686","18,642","18,613","18,553","18,370","18,328","18,219"
Faulkner County, Arkansas,"119,176","120,562","121,241","122,206","123,530","125,138","126,007"
Franklin County, Arkansas,"17,915","17,828","17,749","17,655","17,809","17,764","17,715"
Fulton County, Arkansas,"12,170","12,081","12,138","12,099","12,131","12,308","12,477"
Garland County, Arkansas,"97,654","97,758","97,814","98,282","98,327","98,966","99,386"
Grant County, Arkansas,"18,046","18,074","18,016","18,064","18,103","18,180","18,265"
Greene County, Arkansas,"43,160","43,788","44,300","44,730","44,993","45,339","45,325"
Hempstead County, Arkansas,"22,420","22,326","22,085","22,032","21,876","21,685","21,532"
Hot Spring County, Arkansas,"33,528","33,409","33,497","33,438","33,606","33,672","33,771"
Howard County, Arkansas,"13,543","13,492","13,336","13,350","13,365","13,302","13,202"
Independence County, Arkansas,"36,885","37,080","37,035","37,117","37,391","37,768","37,825"
