County,State,2013,2014,2015,2016,2017,2018,2019
Montgomery County, Illinois,"29,362","29,449","29,192","29,061","28,781","28,691","28,414"
Morgan County, Illinois,"35,000","34,673","34,673","34,632","34,245","34,027","33,658"
Moultrie County, Illinois,"14,796","14,751","14,743","14,610","14,701","14,648","14,501"
Ogle County, Illinois,"52,266","51,931","51,559","51,148","50,993","50,781","50,643"
Peoria County, Illinois,"188,643","187,512","186,481","185,043","182,525","180,620","179,179"
Perry County, Illinois,"21,714","21,541","21,521","21,391","21,281","21,144","20,916"
Piatt County, Illinois,"16,429","16,409","16,350","16,524","16,422","16,366","16,344"
Pike County, Illinois,"16,071","15,956","15,795","15,742","15,668","15,595","15,561"
Pope County, Illinois,"4,457","4,375","4,291","4,182","4,183","4,184","4,177"
Pulaski County, Illinois,"5,893","5,797","5,657","5,604","5,520","5,434","5,335"
Putnam County, Illinois,"5,855","5,832","5,727","5,710","5,694","5,736","5,739"
Randolph County, Illinois,"33,175","33,138","32,806","32,414","32,297","32,177","31,782"
Richland County, Illinois,"16,008","16,020","15,957","15,829","15,837","15,695","15,513"
Rock Island County, Illinois,"147,650","147,035","146,094","144,943","143,828","142,621","141,879"
St, Clair County,"266,831","265,941","264,858","263,187","262,600","261,360","259,686"
Saline County, Illinois,"24,803","24,496","24,495","24,230","23,963","23,789","23,491"
Sangamon County, Illinois,"199,141","199,184","198,898","198,026","197,072","195,639","194,672"
Schuyler County, Illinois,"7,392","7,261","7,151","7,030","6,948","6,870","6,768"
Scott County, Illinois,"5,211","5,170","5,110","5,052","4,983","4,927","4,951"
Shelby County, Illinois,"22,137","22,102","21,819","21,733","21,774","21,726","21,634"
Stark County, Illinois,"5,705","5,601","5,505","5,512","5,457","5,418","5,342"
Stephenson County, Illinois,"46,671","46,269","45,668","45,503","44,997","44,797","44,498"
Tazewell County, Illinois,"136,266","135,353","134,302","133,932","133,489","132,450","131,803"
Union County, Illinois,"17,539","17,402","17,284","17,105","16,968","16,832","16,653"
Vermilion County, Illinois,"80,585","79,783","79,170","78,494","77,689","76,702","75,758"
Wabash County, Illinois,"11,671","11,599","11,624","11,542","11,523","11,523","11,520"
Warren County, Illinois,"17,662","17,712","17,455","17,294","17,144","16,992","16,844"
Washington County, Illinois,"14,414","14,392","14,262","14,179","13,963","13,999","13,887"
Wayne County, Illinois,"16,664","16,594","16,517","16,542","16,412","16,326","16,215"
White County, Illinois,"14,434","14,265","14,204","14,079","13,903","13,618","13,537"
Whiteside County, Illinois,"57,468","57,021","56,919","56,476","55,955","55,553","55,175"
Will County, Illinois,"683,734","685,158","685,877","688,328","690,479","691,149","690,743"
Williamson County, Illinois,"67,450","67,412","67,428","67,454","67,049","66,982","66,597"
Winnebago County, Illinois,"290,945","288,695","287,148","286,065","284,681","283,630","282,572"
Woodford County, Illinois,"39,027","39,052","38,930","38,913","38,670","38,527","38,459"
Adams County, Indiana,"34,644","34,758","34,945","35,178","35,385","35,595","35,777"
Allen County, Indiana,"363,355","365,147","367,362","369,412","371,723","375,079","379,299"
Bartholomew County, Indiana,"79,655","80,497","81,458","82,231","82,213","82,722","83,779"
Benton County, Indiana,"8,748","8,720","8,693","8,658","8,631","8,653","8,748"
Blackford County, Indiana,"12,461","12,347","12,242","12,115","12,028","11,924","11,758"
Boone County, Indiana,"60,346","61,631","63,033","64,192","65,723","66,930","67,843"
Brown County, Indiana,"15,055","14,944","14,994","14,996","15,010","15,230","15,092"
Carroll County, Indiana,"20,113","19,953","19,887","19,973","20,067","20,188","20,257"
Cass County, Indiana,"38,585","38,487","38,081","37,905","37,828","37,895","37,689"
Clark County, Indiana,"112,688","114,035","114,819","115,588","116,545","117,280","118,302"
Clay County, Indiana,"26,662","26,430","26,395","26,210","26,167","26,175","26,225"
Clinton County, Indiana,"32,766","32,462","32,373","32,207","32,195","32,192","32,399"
Crawford County, Indiana,"10,620","10,668","10,555","10,583","10,535","10,594","10,577"
Daviess County, Indiana,"32,282","32,680","32,823","33,010","33,136","33,278","33,351"
Dearborn County, Indiana,"49,739","49,418","49,455","49,436","49,564","49,482","49,458"
Decatur County, Indiana,"26,236","26,416","26,339","26,565","26,620","26,725","26,559"
DeKalb County, Indiana,"42,369","42,428","42,496","42,652","42,806","43,208","43,475"
Delaware County, Indiana,"116,831","116,487","115,767","115,657","115,246","114,297","114,135"
Dubois County, Indiana,"42,275","42,297","42,317","42,450","42,538","42,674","42,736"
Elkhart County, Indiana,"200,205","201,423","202,995","203,642","204,194","205,617","206,341"
Fayette County, Indiana,"23,826","23,442","23,388","23,252","23,154","23,076","23,102"
Floyd County, Indiana,"76,018","76,094","76,505","76,734","77,006","77,834","78,522"
Fountain County, Indiana,"16,882","16,693","16,537","16,457","16,419","16,390","16,346"
Franklin County, Indiana,"22,970","22,982","22,940","22,770","22,694","22,706","22,758"
Fulton County, Indiana,"20,449","20,517","20,340","20,118","19,995","20,053","19,974"
Gibson County, Indiana,"33,484","33,723","33,644","33,644","33,721","33,610","33,659"
Grant County, Indiana,"68,845","68,326","67,479","66,669","66,305","66,039","65,769"
Greene County, Indiana,"32,741","32,646","32,416","32,228","32,172","32,059","31,922"
Hamilton County, Indiana,"296,858","302,772","308,428","315,902","322,933","330,311","338,011"
Hancock County, Indiana,"70,980","71,754","72,413","73,765","74,998","76,478","78,168"
Harrison County, Indiana,"39,000","39,173","39,532","39,661","39,777","40,214","40,515"
Hendricks County, Indiana,"153,555","155,845","157,776","160,376","163,622","166,908","170,311"
Henry County, Indiana,"48,843","48,886","48,655","48,345","48,170","48,131","47,972"
Howard County, Indiana,"82,738","82,605","82,338","82,304","82,210","82,257","82,544"
Huntington County, Indiana,"36,777","36,609","36,518","36,294","36,222","36,243","36,520"
Jackson County, Indiana,"43,437","43,703","43,875","43,997","43,955","44,068","44,231"
Jasper County, Indiana,"33,423","33,512","33,478","33,405","33,424","33,365","33,562"
Jay County, Indiana,"21,270","21,139","21,137","21,017","20,883","20,727","20,436"
Jefferson County, Indiana,"32,390","32,402","32,297","32,230","32,013","32,157","32,308"
Jennings County, Indiana,"28,227","27,916","27,834","27,648","27,652","27,679","27,735"
Johnson County, Indiana,"145,410","147,085","148,962","151,540","153,820","156,093","158,167"
Knox County, Indiana,"38,055","37,961","37,760","37,333","37,044","36,596","36,594"
Kosciusko County, Indiana,"77,865","78,371","78,547","78,732","79,026","79,416","79,456"
LaGrange County, Indiana,"38,089","38,435","38,616","39,113","39,248","39,375","39,614"
Lake County, Indiana,"491,732","491,027","487,908","486,092","484,601","484,440","485,493"
LaPorte County, Indiana,"111,423","111,735","110,835","110,222","109,842","109,981","109,888"
Lawrence County, Indiana,"45,896","45,651","45,568","45,578","45,592","45,630","45,370"
Madison County, Indiana,"130,303","129,736","129,388","129,329","129,418","129,573","129,569"
Marion County, Indiana,"929,922","935,935","939,843","945,685","950,537","958,700","964,582"
Marshall County, Indiana,"46,910","46,920","46,733","46,586","46,433","46,296","46,258"
Martin County, Indiana,"10,233","10,238","10,216","10,190","10,181","10,219","10,255"
Miami County, Indiana,"36,167","36,070","36,004","36,043","35,864","35,646","35,516"
Monroe County, Indiana,"142,068","143,403","144,247","145,757","146,638","147,230","148,431"
Montgomery County, Indiana,"38,137","38,150","38,243","38,238","38,343","38,274","38,338"
Morgan County, Indiana,"69,344","69,495","69,559","69,633","69,793","70,137","70,489"
Newton County, Indiana,"14,028","14,087","13,971","13,992","14,027","13,986","13,984"
Noble County, Indiana,"47,240","47,367","47,515","47,398","47,329","47,543","47,744"
Ohio County, Indiana,"5,986","5,957","5,877","5,885","5,854","5,879","5,875"
Orange County, Indiana,"19,835","19,771","19,634","19,473","19,423","19,548","19,646"
Owen County, Indiana,"21,153","21,019","20,826","20,898","20,791","20,862","20,799"
Parke County, Indiana,"17,237","17,236","16,970","16,938","16,907","16,978","16,937"
Perry County, Indiana,"19,417","19,334","19,310","18,978","18,978","19,077","19,169"
Pike County, Indiana,"12,495","12,490","12,407","12,391","12,315","12,388","12,389"
Porter County, Indiana,"166,478","167,166","167,334","167,475","168,495","169,488","170,389"
Posey County, Indiana,"25,561","25,603","25,613","25,639","25,569","25,554","25,427"
Pulaski County, Indiana,"12,939","12,916","12,804","12,618","12,529","12,492","12,353"
Putnam County, Indiana,"37,494","37,451","37,382","37,113","37,363","37,486","37,576"
Randolph County, Indiana,"25,617","25,331","25,138","25,112","24,907","24,806","24,665"
Ripley County, Indiana,"28,296","28,340","28,372","28,381","28,428","28,450","28,324"
Rush County, Indiana,"16,996","16,845","16,708","16,639","16,643","16,635","16,581"
St, Joseph County,"267,054","267,848","268,361","269,862","270,057","270,972","271,826"
Scott County, Indiana,"23,755","23,636","23,660","23,687","23,793","23,784","23,873"
Shelby County, Indiana,"44,333","44,358","44,341","44,229","44,367","44,522","44,729"
Spencer County, Indiana,"20,762","20,762","20,640","20,491","20,440","20,385","20,277"
Starke County, Indiana,"23,139","22,956","22,860","23,019","22,935","22,951","22,995"
Steuben County, Indiana,"34,371","34,491","34,469","34,329","34,384","34,487","34,594"
Sullivan County, Indiana,"21,138","20,995","20,874","20,710","20,700","20,696","20,669"
Switzerland County, Indiana,"10,598","10,564","10,614","10,641","10,686","10,731","10,751"
Tippecanoe County, Indiana,"181,953","184,433","186,723","190,292","191,199","193,817","195,732"
Tipton County, Indiana,"15,544","15,405","15,249","15,163","15,137","15,112","15,148"
Union County, Indiana,"7,307","7,241","7,185","7,139","7,159","7,029","7,054"
Vanderburgh County, Indiana,"181,580","181,934","181,504","181,427","180,954","181,120","181,451"
Vermillion County, Indiana,"15,852","15,659","15,593","15,593","15,503","15,510","15,498"
Vigo County, Indiana,"108,200","107,920","107,533","107,790","107,569","107,367","107,038"
Wabash County, Indiana,"32,269","32,100","31,860","31,513","31,380","31,198","30,996"
Warren County, Indiana,"8,369","8,339","8,270","8,165","8,204","8,280","8,265"
Warrick County, Indiana,"60,852","60,956","61,522","62,005","62,401","62,474","62,998"
Washington County, Indiana,"27,779","27,886","27,774","27,728","27,771","27,932","28,036"
Wayne County, Indiana,"67,785","67,378","66,972","66,630","66,179","66,046","65,884"
Wells County, Indiana,"27,715","27,814","27,851","27,865","27,958","28,083","28,296"
White County, Indiana,"24,401","24,433","24,274","24,074","24,163","24,133","24,102"
Whitley County, Indiana,"33,283","33,444","33,444","33,475","33,722","34,047","33,964"
Adair County, Iowa,"7,387","7,368","7,145","7,005","7,051","7,074","7,152"
Adams County, Iowa,"3,891","3,877","3,754","3,692","3,657","3,644","3,602"
Allamakee County, Iowa,"14,071","14,062","13,874","13,851","13,803","13,852","13,687"
Appanoose County, Iowa,"12,654","12,671","12,577","12,505","12,353","12,401","12,426"
Audubon County, Iowa,"5,863","5,771","5,711","5,626","5,550","5,471","5,496"
Benton County, Iowa,"25,699","25,623","25,608","25,644","25,656","25,625","25,645"
Black Hawk County, Iowa,"132,933","133,390","133,701","133,077","132,238","131,723","131,228"
Boone County, Iowa,"26,284","26,290","26,443","26,416","26,443","26,312","26,234"
Bremer County, Iowa,"24,579","24,670","24,746","24,747","24,823","24,941","25,062"
Buchanan County, Iowa,"21,026","21,131","21,105","21,007","21,126","21,178","21,175"
Buena Vista County, Iowa,"20,649","20,606","20,374","20,325","20,144","19,826","19,620"
Butler County, Iowa,"14,975","14,959","14,881","14,702","14,592","14,525","14,439"
Calhoun County, Iowa,"9,898","9,845","9,801","9,811","9,729","9,711","9,668"
Carroll County, Iowa,"20,541","20,499","20,423","20,388","20,274","20,153","20,165"
Cass County, Iowa,"13,572","13,395","13,351","13,176","13,144","12,948","12,836"
Cedar County, Iowa,"18,226","18,276","18,254","18,348","18,490","18,564","18,627"
Cerro Gordo County, Iowa,"43,528","43,206","42,983","43,096","42,999","42,642","42,450"
Cherokee County, Iowa,"11,874","11,801","11,483","11,394","11,307","11,295","11,235"
Chickasaw County, Iowa,"12,274","12,252","12,151","12,094","12,002","11,952","11,933"
Clarke County, Iowa,"9,245","9,196","9,219","9,288","9,396","9,502","9,395"
Clay County, Iowa,"16,438","16,484","16,498","16,295","16,141","16,106","16,016"
Clayton County, Iowa,"17,793","17,768","17,726","17,661","17,648","17,540","17,549"
Clinton County, Iowa,"48,281","47,895","47,558","47,248","46,874","46,437","46,429"
Crawford County, Iowa,"17,360","17,168","17,082","17,103","17,076","17,089","16,820"
Dallas County, Iowa,"74,949","77,739","80,631","84,248","87,208","89,953","93,453"
Davis County, Iowa,"8,769","8,756","8,777","8,884","8,969","8,972","9,000"
Decatur County, Iowa,"8,216","8,209","8,137","8,053","7,947","7,890","7,870"
Delaware County, Iowa,"17,473","17,395","17,393","17,288","17,143","17,081","17,011"
Des Moines County, Iowa,"40,395","40,096","39,874","39,613","39,326","39,149","38,967"
Dickinson County, Iowa,"16,878","16,840","17,004","17,109","17,141","17,121","17,258"
Dubuque County, Iowa,"95,945","96,481","96,850","96,763","97,066","96,922","97,311"
Emmet County, Iowa,"9,880","9,821","9,702","9,581","9,422","9,277","9,208"
Fayette County, Iowa,"20,519","20,290","20,142","19,858","19,687","19,679","19,650"
Floyd County, Iowa,"16,023","15,999","15,910","15,857","15,767","15,752","15,642"
Franklin County, Iowa,"10,507","10,433","10,319","10,177","10,160","10,085","10,070"
Fremont County, Iowa,"7,069","7,030","6,912","6,947","6,930","6,981","6,960"
Greene County, Iowa,"9,159","9,124","8,944","9,001","8,954","8,965","8,888"
Grundy County, Iowa,"12,341","12,390","12,405","12,286","12,298","12,272","12,232"
Guthrie County, Iowa,"10,671","10,686","10,649","10,642","10,645","10,720","10,689"
Hamilton County, Iowa,"15,343","15,217","15,218","15,075","15,032","14,886","14,773"
Hancock County, Iowa,"11,131","11,040","11,028","10,887","10,756","10,710","10,630"
Hardin County, Iowa,"17,388","17,332","17,253","17,196","17,073","16,937","16,846"
Harrison County, Iowa,"14,357","14,265","14,139","14,046","14,107","14,105","14,049"
Henry County, Iowa,"20,021","19,834","19,843","19,833","20,044","20,033","19,954"
Howard County, Iowa,"9,439","9,353","9,313","9,257","9,229","9,172","9,158"
Humboldt County, Iowa,"9,677","9,636","9,556","9,530","9,569","9,559","9,558"
Ida County, Iowa,"7,074","6,971","6,968","6,961","6,869","6,846","6,860"
Iowa County, Iowa,"16,281","16,317","16,282","16,192","16,133","16,155","16,184"
Jackson County, Iowa,"19,517","19,431","19,366","19,393","19,382","19,427","19,439"
Jasper County, Iowa,"36,728","36,886","36,750","36,736","36,995","37,189","37,185"
Jefferson County, Iowa,"17,629","17,793","17,906","18,063","18,219","18,256","18,295"
Johnson County, Iowa,"140,151","142,730","144,943","146,928","149,325","150,549","151,140"
Jones County, Iowa,"20,519","20,548","20,433","20,392","20,618","20,673","20,681"
Keokuk County, Iowa,"10,337","10,283","10,171","10,170","10,141","10,213","10,246"
Kossuth County, Iowa,"15,332","15,229","15,158","15,104","14,939","14,878","14,813"
Lee County, Iowa,"35,236","35,059","34,894","34,458","34,216","33,909","33,657"
Linn County, Iowa,"216,488","218,129","220,271","222,188","224,379","225,763","226,706"
Louisa County, Iowa,"11,348","11,250","11,285","11,221","11,195","11,153","11,035"
Lucas County, Iowa,"8,697","8,636","8,610","8,555","8,533","8,617","8,600"
Lyon County, Iowa,"11,695","11,703","11,747","11,780","11,785","11,815","11,755"
Madison County, Iowa,"15,483","15,616","15,720","15,796","16,000","16,206","16,338"
Mahaska County, Iowa,"22,421","22,363","22,312","22,186","22,211","22,018","22,095"
Marion County, Iowa,"33,014","33,269","33,109","33,146","33,091","33,259","33,253"
Marshall County, Iowa,"40,995","40,722","40,352","40,135","40,078","39,888","39,369"
Mills County, Iowa,"14,905","14,760","14,882","15,053","15,060","15,068","15,109"
Mitchell County, Iowa,"10,669","10,700","10,676","10,644","10,563","10,571","10,586"
Monona County, Iowa,"9,032","8,899","8,866","8,786","8,724","8,659","8,615"
Monroe County, Iowa,"7,979","7,958","7,924","7,836","7,798","7,768","7,707"
Montgomery County, Iowa,"10,404","10,384","10,149","10,124","10,112","9,961","9,917"
Muscatine County, Iowa,"43,010","43,028","43,068","42,968","42,872","42,874","42,664"
O'Brien County, Iowa,"14,045","14,042","13,926","13,926","13,774","13,798","13,753"
Osceola County, Iowa,"6,236","6,231","6,160","6,095","6,021","6,028","5,958"
Page County, Iowa,"15,516","15,483","15,462","15,329","15,213","15,229","15,107"
Palo Alto County, Iowa,"9,164","9,120","9,140","9,034","9,052","8,903","8,886"
Plymouth County, Iowa,"24,931","24,911","24,899","25,180","25,060","25,024","25,177"
Pocahontas County, Iowa,"7,112","7,097","6,967","6,854","6,833","6,714","6,619"
Polk County, Iowa,"452,657","460,898","467,304","474,277","480,487","485,833","490,161"
Pottawattamie County, Iowa,"92,855","93,258","93,563","93,518","93,416","93,264","93,206"
Poweshiek County, Iowa,"18,606","18,608","18,358","18,279","18,334","18,467","18,504"
Ringgold County, Iowa,"4,971","4,961","4,977","4,985","5,024","4,940","4,894"
Sac County, Iowa,"10,030","10,048","9,966","9,816","9,803","9,705","9,721"
Scott County, Iowa,"170,201","171,310","171,903","172,135","172,448","172,803","172,943"
Shelby County, Iowa,"11,899","11,878","11,789","11,655","11,574","11,559","11,454"
Sioux County, Iowa,"34,503","34,635","34,754","34,944","34,781","34,802","34,855"
Story County, Iowa,"93,877","95,802","96,636","96,893","97,278","96,781","97,117"
Tama County, Iowa,"17,430","17,309","17,217","17,192","17,029","16,869","16,854"
Taylor County, Iowa,"6,233","6,175","6,246","6,213","6,095","6,160","6,121"
Union County, Iowa,"12,616","12,627","12,430","12,360","12,459","12,298","12,241"
Van Buren County, Iowa,"7,434","7,390","7,296","7,241","7,155","7,013","7,044"
Wapello County, Iowa,"35,507","35,426","35,456","35,265","35,022","34,991","34,969"
Warren County, Iowa,"47,358","47,827","48,468","49,356","50,078","51,014","51,466"
Washington County, Iowa,"21,944","22,029","22,145","22,126","22,204","22,058","21,965"
Wayne County, Iowa,"6,385","6,376","6,359","6,447","6,492","6,405","6,441"
Webster County, Iowa,"37,327","37,069","37,066","36,781","36,637","36,339","35,904"
Winnebago County, Iowa,"10,430","10,556","10,603","10,602","10,573","10,539","10,354"
Winneshiek County, Iowa,"20,840","20,696","20,745","20,427","20,129","20,017","19,991"
Woodbury County, Iowa,"102,284","102,292","102,492","102,686","102,132","102,515","103,107"
Worth County, Iowa,"7,489","7,557","7,503","7,471","7,455","7,413","7,381"
Wright County, Iowa,"12,982","12,906","12,841","12,839","12,765","12,690","12,562"
Allen County, Kansas,"13,069","12,892","12,683","12,670","12,555","12,501","12,369"
Anderson County, Kansas,"7,854","7,881","7,816","7,812","7,833","7,848","7,858"
Atchison County, Kansas,"16,688","16,523","16,418","16,376","16,298","16,173","16,073"
Barber County, Kansas,"4,909","4,881","4,824","4,673","4,570","4,465","4,427"
Barton County, Kansas,"27,443","27,334","27,159","26,878","26,394","26,057","25,779"
Bourbon County, Kansas,"14,835","14,797","14,733","14,624","14,609","14,542","14,534"
Brown County, Kansas,"9,912","9,785","9,708","9,641","9,609","9,610","9,564"
Butler County, Kansas,"65,671","65,861","66,249","66,652","66,845","66,833","66,911"
Chase County, Kansas,"2,690","2,654","2,656","2,632","2,651","2,600","2,648"
Chautauqua County, Kansas,"3,529","3,456","3,387","3,360","3,315","3,304","3,250"
Cherokee County, Kansas,"20,899","20,768","20,535","20,256","20,129","20,035","19,939"
Cheyenne County, Kansas,"2,671","2,686","2,674","2,667","2,684","2,645","2,657"
Clark County, Kansas,"2,178","2,114","2,081","2,065","1,995","1,994","1,994"
Clay County, Kansas,"8,388","8,301","8,293","8,105","8,006","8,003","8,002"
Cloud County, Kansas,"9,355","9,331","9,188","9,070","8,912","8,734","8,786"
Coffey County, Kansas,"8,377","8,394","8,291","8,339","8,228","8,232","8,179"
Comanche County, Kansas,"1,926","1,950","1,827","1,838","1,759","1,736","1,700"
Cowley County, Kansas,"36,170","35,896","35,752","35,650","35,297","35,149","34,908"
Crawford County, Kansas,"39,250","39,269","39,139","39,046","38,925","38,911","38,818"
Decatur County, Kansas,"2,908","2,897","2,923","2,828","2,863","2,860","2,827"
Dickinson County, Kansas,"19,433","19,305","19,206","18,956","18,829","18,682","18,466"
Doniphan County, Kansas,"7,876","7,840","7,788","7,718","7,657","7,658","7,600"
Douglas County, Kansas,"114,713","116,445","118,141","119,662","120,281","121,109","122,259"
Edwards County, Kansas,"2,967","3,025","2,955","2,899","2,873","2,820","2,798"
Elk County, Kansas,"2,633","2,696","2,574","2,511","2,514","2,484","2,530"
Ellis County, Kansas,"29,030","28,963","28,999","28,942","28,735","28,646","28,553"
Ellsworth County, Kansas,"6,365","6,345","6,302","6,302","6,284","6,163","6,102"
Finney County, Kansas,"37,073","37,119","37,148","36,885","36,720","36,528","36,467"
Ford County, Kansas,"34,879","34,930","34,629","34,552","34,218","33,877","33,619"
Franklin County, Kansas,"25,734","25,531","25,469","25,523","25,631","25,625","25,544"
Geary County, Kansas,"36,797","36,446","36,681","35,223","33,774","32,777","31,670"
Gove County, Kansas,"2,794","2,748","2,698","2,622","2,622","2,611","2,636"
Graham County, Kansas,"2,588","2,557","2,591","2,562","2,485","2,475","2,482"
Grant County, Kansas,"7,846","7,787","7,724","7,675","7,490","7,294","7,150"
Gray County, Kansas,"5,980","6,062","6,082","6,031","6,018","6,076","5,988"
Greeley County, Kansas,"1,283","1,302","1,302","1,277","1,226","1,229","1,232"
Greenwood County, Kansas,"6,358","6,288","6,233","6,112","6,067","6,011","5,982"
Hamilton County, Kansas,"2,620","2,659","2,568","2,634","2,616","2,600","2,539"
Harper County, Kansas,"5,842","5,829","5,781","5,667","5,580","5,508","5,436"
Harvey County, Kansas,"34,715","34,597","34,802","34,726","34,373","34,183","34,429"
Haskell County, Kansas,"4,126","4,101","4,089","4,026","4,019","3,990","3,968"
Hodgeman County, Kansas,"1,924","1,883","1,869","1,851","1,863","1,822","1,794"
Jackson County, Kansas,"13,310","13,437","13,285","13,270","13,332","13,270","13,171"
Jefferson County, Kansas,"18,773","18,805","18,794","18,824","18,932","18,856","19,043"
Jewell County, Kansas,"3,060","3,043","2,963","2,880","2,857","2,845","2,879"
Johnson County, Kansas,"566,351","572,940","579,684","586,015","591,305","598,127","602,401"
Kearny County, Kansas,"3,912","3,938","3,929","3,890","3,935","3,941","3,838"
Kingman County, Kansas,"7,801","7,683","7,636","7,417","7,275","7,220","7,152"
Kiowa County, Kansas,"2,534","2,532","2,570","2,507","2,486","2,489","2,475"
Labette County, Kansas,"20,871","20,773","20,628","20,313","20,129","19,906","19,618"
Lane County, Kansas,"1,698","1,666","1,630","1,593","1,548","1,546","1,535"
Leavenworth County, Kansas,"78,082","78,554","79,119","80,244","81,109","81,497","81,758"
Lincoln County, Kansas,"3,161","3,184","3,142","3,077","3,043","2,998","2,962"
Linn County, Kansas,"9,543","9,536","9,580","9,606","9,697","9,771","9,703"
Logan County, Kansas,"2,775","2,768","2,787","2,818","2,814","2,812","2,794"
Lyon County, Kansas,"33,479","33,143","33,133","33,369","33,257","33,300","33,195"
McPherson County, Kansas,"29,415","28,896","28,648","28,429","28,687","28,528","28,542"
Marion County, Kansas,"12,205","12,188","12,053","12,017","11,945","11,923","11,884"
Marshall County, Kansas,"9,973","9,945","9,845","9,789","9,687","9,715","9,707"
Meade County, Kansas,"4,286","4,357","4,301","4,236","4,230","4,098","4,033"
Miami County, Kansas,"32,834","32,868","32,758","32,923","33,429","33,737","34,237"
Mitchell County, Kansas,"6,309","6,248","6,294","6,207","6,137","6,110","5,979"
Montgomery County, Kansas,"34,444","34,090","33,436","32,859","32,390","32,091","31,829"
Morris County, Kansas,"5,719","5,664","5,628","5,558","5,467","5,557","5,620"
Morton County, Kansas,"3,116","3,041","2,953","2,790","2,747","2,693","2,587"
Nemaha County, Kansas,"10,092","10,087","10,094","10,089","10,060","10,125","10,231"
Neosho County, Kansas,"16,383","16,325","16,287","16,127","16,094","16,025","16,007"
Ness County, Kansas,"3,087","3,089","3,020","2,957","2,856","2,796","2,750"
Norton County, Kansas,"5,614","5,534","5,536","5,491","5,421","5,419","5,361"
Osage County, Kansas,"16,080","15,970","15,865","15,811","15,842","15,938","15,949"
Osborne County, Kansas,"3,800","3,752","3,641","3,588","3,539","3,459","3,421"
Ottawa County, Kansas,"6,044","6,030","5,934","5,905","5,817","5,752","5,704"
Pawnee County, Kansas,"6,863","6,822","6,769","6,719","6,665","6,573","6,414"
Phillips County, Kansas,"5,560","5,494","5,420","5,402","5,370","5,276","5,234"
Pottawatomie County, Kansas,"22,574","22,740","23,123","23,605","23,916","24,209","24,383"
Pratt County, Kansas,"9,778","9,768","9,697","9,557","9,500","9,340","9,164"
Rawlins County, Kansas,"2,563","2,543","2,506","2,500","2,473","2,502","2,530"
Reno County, Kansas,"64,079","63,701","63,596","63,184","62,714","62,331","61,998"
Republic County, Kansas,"4,767","4,741","4,688","4,659","4,654","4,652","4,636"
Rice County, Kansas,"9,978","9,971","9,925","9,782","9,563","9,483","9,537"
Riley County, Kansas,"76,923","76,479","77,185","75,172","73,977","74,712","74,232"
Rooks County, Kansas,"5,195","5,204","5,179","5,118","5,055","4,995","4,920"
Rush County, Kansas,"3,176","3,161","3,098","3,054","3,048","3,056","3,036"
Russell County, Kansas,"6,977","7,007","7,044","7,007","6,930","6,902","6,856"
Saline County, Kansas,"55,750","55,511","55,429","54,955","54,508","54,387","54,224"
Scott County, Kansas,"4,906","4,966","4,948","4,979","4,928","4,909","4,823"
Sedgwick County, Kansas,"506,442","508,968","511,083","513,092","513,176","513,484","516,042"
Seward County, Kansas,"23,311","23,303","23,273","22,897","22,245","21,902","21,428"
Shawnee County, Kansas,"178,650","178,567","178,689","178,350","178,056","177,290","176,875"
Sheridan County, Kansas,"2,500","2,502","2,475","2,485","2,526","2,522","2,521"
Sherman County, Kansas,"6,090","6,067","5,964","5,955","5,936","5,917","5,917"
Smith County, Kansas,"3,699","3,729","3,689","3,656","3,615","3,590","3,583"
Stafford County, Kansas,"4,339","4,281","4,215","4,186","4,186","4,162","4,156"
Stanton County, Kansas,"2,178","2,141","2,070","2,105","2,055","2,025","2,006"
Stevens County, Kansas,"5,808","5,840","5,789","5,653","5,551","5,536","5,485"
Sumner County, Kansas,"23,537","23,384","23,417","23,183","23,117","23,019","22,836"
Thomas County, Kansas,"7,933","7,836","7,895","7,847","7,821","7,710","7,777"
Trego County, Kansas,"2,945","2,895","2,907","2,852","2,843","2,797","2,803"
Wabaunsee County, Kansas,"7,025","6,938","6,887","6,884","6,832","6,912","6,931"
Wallace County, Kansas,"1,560","1,501","1,505","1,502","1,515","1,489","1,518"
Washington County, Kansas,"5,626","5,610","5,568","5,564","5,479","5,450","5,406"
Wichita County, Kansas,"2,192","2,188","2,167","2,131","2,121","2,112","2,119"
Wilson County, Kansas,"9,091","8,970","8,845","8,698","8,707","8,666","8,525"
Woodson County, Kansas,"3,215","3,187","3,144","3,189","3,130","3,184","3,138"
Wyandotte County, Kansas,"160,933","162,246","163,682","164,785","165,087","165,321","165,429"
Adair County, Kentucky,"19,124","19,262","19,162","19,259","19,287","19,199","19,202"
Allen County, Kentucky,"20,316","20,493","20,660","20,721","20,903","21,122","21,315"
Anderson County, Kentucky,"21,747","21,868","21,920","22,191","22,545","22,641","22,747"
Ballard County, Kentucky,"8,252","8,188","8,216","8,046","8,018","7,992","7,888"
Barren County, Kentucky,"42,937","43,034","43,546","43,763","43,746","44,115","44,249"
Bath County, Kentucky,"11,975","12,130","12,203","12,246","12,381","12,444","12,500"
Bell County, Kentucky,"28,031","27,826","27,370","27,204","26,863","26,487","26,032"
Boone County, Kentucky,"125,022","126,677","128,161","129,503","130,952","131,901","133,581"
Bourbon County, Kentucky,"20,026","20,055","20,166","20,130","20,092","20,116","19,788"
Boyd County, Kentucky,"48,880","48,798","48,471","48,121","47,808","47,292","46,718"
