Area_name,,Vacant housing units 2010 (complete count),"Housing units - median rooms, 2005-2009",Occupied housing units 2010 (complete count),,
Lawrence, AR,1062,5.2,6938,,
Lee, AR,732,5.3,3624,,
Lincoln, AR,653,5.4,4207,,
Little River, AR,1049,5.3,5411,,
Logan, AR,1404,5.3,8704,,
Lonoke, AR,1944,5.6,25295,,
Madison, AR,1307,5.1,6174,,
Marion, AR,1943,5.1,7411,,
Miller, AR,2062,5.2,17219,,
Mississippi, AR,2718,5.1,17741,,
Monroe, AR,974,5.1,3481,,
Montgomery, AR,1763,4.9,4000,,
Nevada, AR,866,5.1,3697,,
Newton, AR,1093,4.8,3571,,
Ouachita, AR,2118,5.3,11003,,
Perry, AR,737,5.1,4170,,
Phillips, AR,1635,5.1,8491,,
Pike, AR,1123,5,4457,,
Poinsett, AR,1169,5.2,9754,,
Polk, AR,1552,5.2,8450,,
Pope, AR,2198,5.2,23353,,
Prairie, AR,818,5,3685,,
Pulaski, AR,16783,5.3,158772,,
Randolph, AR,1214,5.2,7299,,
St. Francis, AR,1287,5.2,9616,,
Saline, AR,3370,5.4,41441,,
Scott, AR,825,5.2,4368,,
Searcy, AR,1326,4.9,3574,,
Sebastian, AR,5052,5.2,49599,,
Sevier, AR,912,5.3,5975,,
Sharp, AR,2462,5.1,7360,,
Stone, AR,1387,5,5325,,
Union, AR,2702,5.3,16951,,
Van Buren, AR,2912,4.8,7433,,
Washington, AR,11419,5.1,76389,,
White, AR,3146,5.4,29342,,
Woodruff, AR,759,5,3134,,
Yell, AR,1533,4.9,8219,,
CALIFORNIA,,1102583,5.1,12577498,,
Alameda, CA,37411,5,545138,,
Alpine, CA,1263,4.4,497,,
Amador, CA,3463,5.3,14569,,
Butte, CA,8217,5.1,87618,,
Calaveras, CA,9039,5.2,18886,,
Colusa, CA,827,5.1,7056,,
Contra Costa, CA,24899,5.7,375364,,
Del Norte, CA,1279,5.1,9907,,
El Dorado, CA,17936,5.6,70223,,
Fresno, CA,26140,5.2,289391,,
Glenn, CA,978,5.2,9800,,
Humboldt, CA,5528,4.9,56031,,
Imperial, CA,6941,5,49126,,
Inyo, CA,1429,4.8,8049,,
Kern, CA,29757,5.2,254610,,
Kings, CA,2634,5.3,41233,,
Lake, CA,8944,4.8,26548,,
Lassen, CA,2652,5.2,10058,,
Los Angeles, CA,203872,4.6,3241204,,
Madera, CA,5823,5.3,43317,,
Marin, CA,8004,5.4,103210,,
Mariposa, CA,2495,5,7693,,
Mendocino, CA,5378,5,34945,,
Merced, CA,8056,5.3,75642,,
Modoc, CA,1128,5.2,4064,,
Mono, CA,8144,4.3,5768,,
Monterey, CA,13102,5.1,125946,,
Napa, CA,5883,5.3,48876,,
Nevada, CA,11063,5.3,41527,,
Orange, CA,56126,5.2,992781,,
Placer, CA,20021,5.8,132627,,
Plumas, CA,6589,4.9,8977,,
Riverside, CA,114447,5.4,686260,,
Sacramento, CA,41987,5.3,513945,,
San Benito, CA,1065,5.6,16805,,
San Bernardino, CA,88019,5.4,611618,,
San Diego, CA,77921,5,1086865,,
San Francisco, CA,31131,4.1,345811,,
San Joaquin, CA,18748,5.4,215007,,
San Luis Obispo, CA,15299,5.2,102016,,
San Mateo, CA,13194,5.1,257837,,
Santa Barbara, CA,10730,5,142104,,
Santa Clara, CA,27716,5.2,604204,,
Santa Cruz, CA,10121,4.9,94355,,
Shasta, CA,6967,5.3,70346,,
Sierra, CA,846,5,1482,,
Siskiyou, CA,4405,5.1,19505,,
Solano, CA,10940,5.6,141758,,
Sonoma, CA,18747,5.2,185825,,
Stanislaus, CA,14323,5.4,165180,,
Sutter, CA,2421,5.5,31437,,
Tehama, CA,3220,5,23767,,
Trinity, CA,2598,4.7,6083,,
Tulare, CA,11344,5.2,130352,,
Tuolumne, CA,9088,5.2,22156,,
Ventura, CA,14775,5.7,266920,,
Yolo, CA,4182,5.2,70872,,
Yuba, CA,3328,5.2,24307,,
COLORADO,,240030,5.7,1972868,,
Adams, CO,9372,5.7,153764,,
Alamosa, CO,559,4.8,5995,,
Arapahoe, CO,14290,5.9,224011,,
Archuleta, CO,3495,5.4,5267,,
Baca, CO,563,5.5,1685,,
Bent, CO,410,5.2,1832,,
Boulder, CO,7771,5.8,119300,,
Broomfield, CO,1232,6.5,21414,,
Chaffee, CO,2419,5.1,7601,,
Cheyenne, CO,189,5.8,786,,
Clear Creek, CO,1477,5.2,4208,,
Conejos, CO,1168,5.3,3118,,
Costilla, CO,1063,4.9,1550,,
Crowley, CO,253,5.3,1306,,
Custer, CO,2031,4.9,1925,,
Delta, CO,1869,5.4,12703,,
Denver, CO,22690,4.9,263107,,
Dolores, CO,569,5,899,,
Douglas, CO,4841,7.2,102018,,
Eagle, CO,12076,5.1,19236,,
Elbert, CO,559,6.6,8380,,
El Paso, CO,16893,6.1,235959,,
Fremont, CO,2660,5.3,16582,,
Garfield, CO,2950,5.3,20359,,
Gilpin, CO,1100,5.3,2460,,
Grand, CO,9592,4.6,6469,,
Gunnison, CO,4896,4.6,6516,,
Hinsdale, CO,1026,5,362,,
Huerfano, CO,1938,5,3137,,
Jackson, CO,637,5.3,649,,
Jefferson, CO,11807,6.2,218160,,
Kiowa, CO,186,6.1,619,,
Kit Carson, CO,489,5.8,3038,,
Lake, CO,1318,4.9,2953,,
La Plata, CO,4760,5.1,21100,,
Larimer, CO,12427,5.8,120295,,
Las Animas, CO,1833,5.3,6384,,
Lincoln, CO,472,5.5,1948,,
Logan, CO,934,5.5,8047,,
Mesa, CO,4549,5.5,58095,,
Mineral, CO,846,5.5,355,,
Moffat, CO,731,5.6,5465,,
Montezuma, CO,1553,5.2,10541,,
Montrose, CO,1766,5.5,16484,,
Morgan, CO,1196,5.4,10294,,
Otero, CO,1240,5.3,7729,,
Ouray, CO,1061,5.8,2022,,
Park, CO,6773,4.8,7174,,
Phillips, CO,268,5.7,1819,,
Pitkin, CO,4801,5.1,8152,,
Prowers, CO,1007,5.2,4935,,
Pueblo, CO,6554,5.5,62972,,
Rio Blanco, CO,662,5.4,2647,,
Rio Grande, CO,1851,5.5,4779,,
Routt, CO,6411,5.2,9892,,
Saguache, CO,1203,5,2640,,
San Juan, CO,412,4.4,344,,
San Miguel, CO,3184,4.5,3454,,
Sedgwick, CO,322,5.7,1093,,
Summit, CO,18088,4.2,11754,,
Teller, CO,2838,5.8,9805,,
Washington, CO,454,5.8,1980,,
Weld, CO,6932,6,89349,,
Yuma, CO,514,5.9,3952,,
CONNECTICUT,,116804,5.7,1371087,,
Fairfield, CT,25676,5.9,335545,,
Hartford, CT,23395,5.5,350854,,
Litchfield, CT,10910,6,76640,,
Middlesex, CT,7635,5.9,67202,,
New Haven, CT,27502,5.5,334502,,
New London, CT,13937,5.7,107057,,
Tolland, CT,3486,6,54477,,
Windham, CT,4263,5.5,44810,,
DELAWARE,,63588,6,342297,,
Kent, DE,5060,6,60278,,
New Castle, DE,14860,6.2,202651,,
Sussex, DE,43668,5.8,79368,,
DISTRICT OF COLUMBIA,,30012,4.3,266707,,
District of Columbia,,30012,4.3,266707,,
FLORIDA,,1568778,5.1,7420802,,
Alachua, FL,12250,5,100516,,
Baker, FL,915,5.7,8772,,
Bay, FL,31212,4.9,68438,,
Bradford, FL,1532,5.3,9479,,
Brevard, FL,40172,5.4,229692,,
Broward, FL,124341,4.7,686047,,
