Area_name,,"School enrollment - persons 3 years and over enrolled in college, undergraduate years: 2005-2009",School enrollment - persons 3 years and over enrolled in graduate or professional school: 2005-2009
Pike, AR, 316 , 45 
Poinsett, AR, 502 , 62 
Polk, AR, 749 , 71 
Pope, AR," 4,048 ", 437 
Prairie, AR, 167 , 48 
Pulaski, AR," 19,337 "," 6,079 "
Randolph, AR, 867 , 103 
St. Francis, AR, 710 , 106 
Saline, AR," 3,577 ", 735 
Scott, AR, 378 , 44 
Searcy, AR, 291 , 35 
Sebastian, AR," 4,363 ", 696 
Sevier, AR, 595 , 53 
Sharp, AR, 614 , 62 
Stone, AR, 393 , 46 
Union, AR," 1,572 ", 148 
Van Buren, AR, 280 , 83 
Washington, AR," 16,074 "," 3,616 "
White, AR," 6,462 ", 574 
Woodruff, AR, 126 , 39 
Yell, AR, 630 , 33 
CALIFORNIA,," 2,379,355 "," 476,349 "
Alameda, CA," 97,486 "," 30,018 "
Alpine, CA, 97 , 8 
Amador, CA," 1,101 ", 132 
Butte, CA," 30,271 "," 2,562 "
Calaveras, CA," 1,370 ", 347 
Colusa, CA, 609 , 31 
Contra Costa, CA," 57,200 "," 10,043 "
Del Norte, CA," 1,418 ", 115 
El Dorado, CA," 10,194 "," 1,706 "
Fresno, CA," 56,142 "," 9,006 "
Glenn, CA," 1,157 ", 126 
Humboldt, CA," 13,475 "," 1,496 "
Imperial, CA," 10,202 ", 843 
Inyo, CA, 619 , 124 
Kern, CA," 38,415 "," 5,628 "
Kings, CA," 8,025 ", 875 
Lake, CA," 2,612 ", 400 
Lassen, CA," 1,977 ", 100 
Los Angeles, CA," 637,389 "," 135,263 "
Madera, CA," 5,625 ", 597 
Marin, CA," 11,442 "," 3,240 "
Mariposa, CA, 500 , 79 
Mendocino, CA," 3,620 ", 620 
Merced, CA," 14,785 "," 1,778 "
Modoc, CA, 294 , 52 
Mono, CA, 492 , 137 
Monterey, CA," 24,276 "," 4,727 "
Napa, CA," 7,302 "," 1,050 "
Nevada, CA," 4,472 ", 943 
Orange, CA," 203,531 "," 44,742 "
Placer, CA," 17,584 "," 3,392 "
Plumas, CA, 830 , 92 
Riverside, CA," 105,154 "," 18,722 "
Sacramento, CA," 92,888 "," 15,342 "
San Benito, CA," 2,866 ", 364 
San Bernardino, CA," 123,102 "," 19,915 "
San Diego, CA," 217,047 "," 45,513 "
San Francisco, CA," 54,423 "," 24,682 "
San Joaquin, CA," 36,571 "," 4,295 "
San Luis Obispo, CA," 34,204 "," 2,092 "
San Mateo, CA," 41,721 "," 10,871 "
Santa Barbara, CA," 47,423 "," 5,259 "
Santa Clara, CA," 120,231 "," 31,907 "
Santa Cruz, CA," 27,494 "," 4,088 "
Shasta, CA," 10,503 "," 1,461 "
Sierra, CA, 34 , -   
Siskiyou, CA," 2,237 ", 375 
Solano, CA," 27,083 "," 4,344 "
Sonoma, CA," 30,663 "," 4,598 "
Stanislaus, CA," 27,895 "," 3,933 "
Sutter, CA," 4,814 ", 889 
Tehama, CA," 2,559 ", 311 
Trinity, CA, 397 , 103 
Tulare, CA," 19,626 "," 2,363 "
Tuolumne, CA," 2,170 ", 182 
Ventura, CA," 49,239 "," 7,934 "
Yolo, CA," 30,324 "," 6,127 "
Yuba, CA," 4,175 ", 407 
COLORADO,," 284,844 "," 64,750 "
Adams, CO," 15,744 "," 3,583 "
Alamosa, CO," 2,379 ", 207 
Arapahoe, CO," 27,200 "," 7,452 "
Archuleta, CO, 348 , -   
Baca, CO, 103 , 13 
